Saturday 6th August | 12:00 | Doors and ticket office open
Friday 12th August | 11:00 – 13:00 | “Copyleft” Workshop by Nicanor Elia – 12 h hall
Friday 12th August | 12:00 – 20:00 | Nejapa Area and Carmen Iglesias AcroHall
Friday 12th August | 12:00 | Special workshops for families – Park kids Area
Friday 12th August | 17:00 | Workshop: Functional Juggling – Park
Friday 12th August | 20;00 | Street show: Endika Salazar – Antonio Gala Square
Friday 12th August | 20:30 | Open Stage – Nejapa Area
Friday 12th August | 22:00 | Final Diabolo Battle – Foresta Tent
Friday 12th August | 23:00 | Fire Gala – The Arena
Friday 12th August | 0:00 | Renegade – ForestaTent
Saturday 13th August | 10:00 – 22:00 Opening of Laura Oter 12 h Hall
Saturday 13th August | 11:00 – 13:00 | “Copyleft” Workshop by Nicanor Elia – 12 h hall
Saturday 13th August | 12:00 – 20:00 | Nejapa Area and Carmen Iglesias AcroHall
Saturday 13th August | 19:00 | Grand Gala 1st Pass
Saturday 13th August | 20:00 | Street Show CIA “Acrocircus” Fundación Tchyminigagua Colombia – The Arena
Saturday 13th August | 21:15 | Music Party ” Tropikalisima” – The Arena
Saturday 13th August | 22:00 | Grand Gala 2nd Pass
Saturday 13th August | 0:00 | Trash Renegade – Foresta Tent
